DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
San Vincente,Indium,Polymetallic Sn veins,-21.29426462,-66.26087218,Bolivia,
Siete Suyos-Animas,Indium,Polymetallic Sn veins,-20.91949952,-66.29061544,Bolivia,
Tatasi,Indium,Polymetallic Sn veins,-21.19908618,-66.11215587,Bolivia,
Hetaoping,Germanium,Skarn,25.42043124,99.13312695,China,
Jinding,Germanium; Gallium,Sandstone-hosted; Ga in Clastic-dominated Pb-Zn,26.58160821,99.45673364,China,
Luziyuan,Germanium,Skarn,23.80239776,98.86662731,China,
Wulik prospect,Germanium,Sedimentary exhalative Pb-Zn,68.19466177,-163.0567662,United States of America,Alaska
Oak showing,Germanium,Sedimentary exhalative Pb-Zn,68.18419214,-163.0605733,United States of America,Alaska
Su-Lik deposit,Germanium,Sedimentary exhalative Pb-Zn,68.11566367,-163.1700285,United States of America,Alaska
Tramp Ridge area,Indium,Kipushi Zn-Pb-Cu,36.351872,-114.173401,United States of America,Nevada
Gold Butte area,Indium,Kipushi Zn-Pb-Cu,36.272484,-114.186495,United States of America,Nevada
Romotshidi,Indium,Volcanogenic Massive Sulfide,-23.98772995,30.50579175,South Africa,
Solomons,Indium,Volcanogenic Massive Sulfide,-23.8899341,30.69281739,South Africa,
Vatomandry-Area,Graphite,Crystalline Graphite,-19.341,48.945,Madagascar,
Rudny-Altai Area,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",50.4,81.3833333,Kazakhstan,
Jiajika,Beryllium; Lithium,Pegmatite,30.289,101.284,China,
Kamativi,Beryllium; Tin; Lithium,Pegmatite; Hydrothermal,-18.329,27.069,Zimbabwe,Matabeleland North Province
Lac Tio,Titanium; Vanadium,Massif anorthosite; Vanadiferous Titanomagnetite,50.556,-63.414,Canada,
Meggen,Barite; Gallium,Bedded-sedimentary; Ga in Clastic-dominated Pb-Zn,51.129,8.063,Germany,
Moma,Titanium; Zirconium and Hafnium,Coastal placer or paleoplacer,-16.7,39.399,Mozambique,
Motzfeldt,Beryllium; Niobium and Tantalum,Non-pegmatite; Alkaline granite and syenite,61.198,-44.996,Greenland,
Mount Isa,Gallium; Cobalt,Ga and Co in Clastic-dominated Pb-Zn,-20.57,139.472,Australia,
Olympic Dam,Cobalt; Tellurium,Iron oxide-Cu-Au(Ag-U-REE-Co-Ni),-30.433,136.878,Australia,
Orsk,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",51.19,58.65,Russia,
Pilgangoora,Beryllium; Lithium,Pegmatite,-21.071,118.902,Australia,
Ranobe,Titanium; Zirconium and Hafnium,Coastal placer or paleoplacer,-22.95,43.669,Madagascar,
Richards Bay,Titanium; Zirconium and Hafnium,Coastal placer or paleoplacer,-28.581,32.347,South Africa,
Rosebery,Barite; Gallium,"Bedded-volcanic; Ga in Volcanogenic Massive Sulfide, Kuroko type",-41.774,145.539,Australia,
Sargipali,Gallium,Ga in Clastic-dominated Pb-Zn,22.55833333,83.92138889,India,
Selvag,Vanadium,Vanadiferous Titanomagnetite,68.655,15.004,Norway,
"Transkei (Xolobeni, Wave Crest)",Titanium,Sedimentary related,-31.167,30.118,South Africa,
Taskainar (Taskaynar),Fluorite,Tin-granite-related,43.1167,75.1167,Kazakhstan,
Telluride,Tellurium,Te in Epithermal Au-Ag,37.95,-107.8,United States of America,Colorado
"A–B chromitite, West Fork area",Platinum-Group Elements,Reef,45.38,-110.01,United States of America,Montana
Aganozero,Platinum-Group Elements,"Reef, chromitite",62.2,36.52,Russia,
Benbow,Platinum-Group Elements,Contact,45.36,-109.81,United States of America,Montana
Birch Lake (Twin Metals),Platinum-Group Elements,Contact,47.73,-91.8,United States of America,Minnesota
Boikgantsho Project,Platinum-Group Elements,Contact,-23.9,28.88,South Africa,
Bokai and Unki East (Main Sulphide  Zone),Platinum-Group Elements,"Reef, sulfide",-19.74,30.04,Zimbabwe,
Camp deposit,Platinum-Group Elements,Contact,45.41,-110.08,United States of America,Montana
Chernogorskoye deposit,Platinum-Group Elements,Conduit,69.15,88.27,Russia,
Gold zone,Platinum-Group Elements,"Reef, sulfide",68.19,-31.67,Greenland,
"Ivanhoe (Turfspruit, Rietfontein, Macalacaskop)",Platinum-Group Elements,Contact,-24.1,28.98,South Africa,
Kalplats Project,Platinum-Group Elements,"Reef, Ti-V layers",-26.31,24.86,South Africa,
Kilvenjärvi,Platinum-Group Elements,Contact,66.24,26.17,Finland,
Kilvenjoki,Platinum-Group Elements,Offset type contact,66.26,26.17,Finland,
Koivukivalonaapa,Platinum-Group Elements,Reef,66.25,26.2,Finland,
Konttijärvi,Platinum-Group Elements,Contact,66.12,25.98,Finland,
Lower Pseudo Reef,Platinum-Group Elements,"Reef, sulfide",-25.18,26.97,South Africa,
Maslovskoe deposit,Platinum-Group Elements,Conduit,69.2,88.04,Russia,
Maturi (Nokomis) (Twin Metals),Platinum-Group Elements,Contact,47.81,-91.73,United States of America,Minnesota
Merensky Reef,Platinum-Group Elements,"Reef, sulfide",-25.3,27.3,South Africa,
Mimosa (Main Sulphide Zone),Platinum-Group Elements,"Reef, sulfide",-20.3,29.81,Zimbabwe,
Mogalakwena Mine,Platinum-Group Elements,Contact,-24,28.95,South Africa,
Mokopane,Platinum-Group Elements,Contact,-24.14,29,South Africa,
Mouat,Platinum-Group Elements,Contact,45.38,-109.9,United States of America,Montana
Niittylampi,Platinum-Group Elements,Contact,66.1,26.2,Finland,
Northern Limb projects -  Aurora and Hacra,Platinum-Group Elements,Contact,-23.5,28.9,South Africa,
Northmet (Polymet),Platinum-Group Elements,Contact,47.62,-91.97,United States of America,Minnesota
Nutturalampi,Platinum-Group Elements,Contact,66.26,26.31,Finland,
Nye Basin,Platinum-Group Elements,Contact,45.37,-109.84,United States of America,Montana
Pudozhgorskoe,Platinum-Group Elements,"Reef, Ti-V layers",62.28,35.9,Russia,
Rocky Claim Group (Chrome Lake),Platinum-Group Elements,Contact,45.35,-109.8,United States of America,Montana
Rooiport,Platinum-Group Elements,Contact,-24.27,29.01,South Africa,
Shalozerskoe (Kuk Ruchi Zone),Platinum-Group Elements,"Reef, chromitite",62.1,36.47,Russia,
Sheba’s Ridge,Platinum-Group Elements,Contact,-25.32,29.36,South Africa,
Siika-Kämä (SK Reef),Platinum-Group Elements,"Reef, sulfide",66.22,26.48,Finland,
Suhanko,Platinum-Group Elements,Contact,66.1,26.09,Finland,
Talnakh ore field,Platinum-Group Elements,Conduit,69.53,88.45,Russia,
UG2,Platinum-Group Elements,"Reef, chromitite",-24.6,30,South Africa,
Upper Pseudo Reef,Platinum-Group Elements,"Reef, sulfide",-25.18,26.97,South Africa,
Vaaralampi,Platinum-Group Elements,Contact,66.1,26.18,Finland,
Volspruit project - North Pit Mines,Platinum-Group Elements,Contact,-24.35,28.95,South Africa,
War Springs,Platinum-Group Elements,Contact,-24.22,29.05,South Africa,
Western Panskoe,Platinum-Group Elements,"Reef, Sulfide",67.53,35.27,Russia,
Yli-Portimo,Platinum-Group Elements,Contact,66.13,26.17,Finland,
Zimplats Hartley Mine (Main Sulphide Zone),Platinum-Group Elements,"Reef, sulfide",-17.99,30.45,Zimbabwe,
Zimplats Ngezi Mine (Main Sulphide Zone),Platinum-Group Elements,"Reef, sulfide",-18.42,30.41,Zimbabwe,
Mission,Zirconium and Hafnium,Coastal placer or paleoplacer,31.033764,-81.967394,United States of America,Georgia
Kragerø,Titanium,Albititic/metasomatized,58.86666667,9.416666667,Norway,
Pitinga,Gallium,Ga in Bauxite,-1.054,-59.797,Brazil,
Nick,Vanadium,Shale-Hosted V,68.65,-135.25,Canada,
Kilvenlatvalampi,Platinum-Group Elements,Contact,66.25,26.27,Finland,
Moanda,Manganese,Secondary enrichment,-1.566667,13.283333,Gabon,
Kovdor,Zirconium and Hafnium,Igneous,67.55,30.5,Russia,Kola Peninsula
Kadamzhai,Antimony,Sb-Hg,40.13153,71.71738,Kyrgyzstan,
Maranda J,Indium,Volcanogenic Massive Sulfide,-24.01,30.42,South Africa,
Kabwe,Gallium; Germanium,Ga in Clastic-dominated Pb-Zn; Ge in Kipushi Zn-Pb-Cu,-14.20652763,28.29706277,Zambia,
Voznesenka and Pogranichny,Fluorite,Tin-granite-related; Felsic and intermediate intrusion-associated,44.1662,132.1922,Russia,
Gejiu District,Tin,Hydrothermal; Felsic and intermediate intrusion-associated,23.33333333,103.3333333,China,Yunnan Province
Emmaville-Torrington District,Beryllium,Felsic and intermediate intrusion-associated; Non-pegmatite,-29.333333,151.65,Australia,New South Wales
Ertzgebirge Region,Beryllium,Non-pegmatite; Felsic and intermediate intrusion-associated,50.654,12.984,Germany,
Krušné Hory,Beryllium,Felsic and intermediate intrusion-associated; Non-pegmatite,50.727,13.769,Czech Republic,
Shizhuyuan District,Fluorite,Tin-granite-related; Felsic and intermediate intrusion-associated,25.66,113.17,China,
Pacific prime crust zone,Cobalt; Manganese,Sea-floor Fe-Mn(-Co-Mo-REE) crusts,15,160,Pacific Ocean,
Maderia-Tore Rise (MTR),Cobalt,Sea-floor Fe-Mn(-Co-Mo-REE) crusts,36,-15,Atlantic Ocean,
La Paz,Rare-Earth Elements,Deposit type unclassified,34.14476295,-113.7920876,United States of America,Arizona
Hsiang-tan,Manganese,Marine sedimentary,27.83,112.92,China,
Leiping,Manganese,Marine sedimentary,23.33,109.5,China,
Tsun-i,Manganese,Marine sedimentary,27.5,106.5,China,
Lofdal project,Rare-Earth Elements,Carbonatite,-20.3062,14.7057,Namibia,
Mfima Hill,Rare-Earth Elements,Carbonatite,-4.4836,39.26,Kenya,
Songwe Hill,Rare-Earth Elements,Carbonatite,-15.7019,35.836,Malawi,
Chailag-Khem,Fluorite,Carbonatite-related F,51.9097,92.3972,Russia,
Castel Giuliano-Pianciano,Fluorite,"Apparently conformable in tuffaceous, limy lacustrine sediments",42.067,12.1441,Italy,
Bétic Cordillera region,Fluorite,Deposit type unclassified,36.8871,-2.6303,Spain,
Kropfmühl-Cesky Krumlov,Graphite,Flake Graphite,48.8,14.32,Czech Republic,
Zavalyevskiy,Graphite,Flake Graphite,48.2,30.03,Ukraine,
Clay-Coosa-Chilton graphite district,Graphite,Flake and Crystalline Graphite,33.28,-85.84,United States of America,Alabama
Ahmavaara,Platinum-Group Elements,Contact,66.1,26.04,Finland,
