Province,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fujian,9544070525,7550928375,7964387595,9102896312,8622631489,9333806443,9562137805,11615508280,10991777087,11012164885,12400435438,11464329341
Jiangsu,5685402280,4941480547,5427873973,4765962757,5680638782,5940521224,5192830497,6208077662,5780977031,6677830252,5831593063,8046126291
Zhejiang,1969964743,1170828594,1585919539,1527094630,1621855926,1738911893,1923386211,2288187460,1968959673,1858364502,1840724434,1634875768
