Province,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fujian,12747268,5722077,10569517,27080842,20890013,18239333,62818679,37519817,14679353,57412642,35662111,6885965
Jiangsu,670168069,193387951,268788500,295283818,252150276,230296124,383564786,245411258,270252140,419819213,451142009,413905623
Zhejiang,14102379,16549642,15913075,29766885,19579983,21624391,25604199,16020970,6213528,11922630,13013180,7423081
